iter	Passed	Remaining
0	147	147723
1	148	74081
2	149	49572
3	150	37393
4	151	30075
5	151	25147
6	152	21621
7	153	18976
8	153	16914
9	154	15264
10	154	13931
11	156	12851
12	157	11921
13	157	11107
14	158	10394
15	158	9768
16	159	9218
17	160	8733
18	160	8312
19	161	7937
20	162	7584
21	163	7258
22	163	6959
23	164	6685
24	164	6433
25	165	6198
26	166	5989
27	167	5797
28	175	5865
29	175	5685
30	176	5514
31	177	5356
32	177	5206
33	178	5065
34	179	4940
35	180	4823
36	181	4713
37	181	4601
38	182	4495
39	183	4394
40	183	4298
41	184	4206
42	185	4123
43	186	4049
44	187	3971
45	187	3894
46	188	3821
47	189	3749
48	189	3679
49	190	3617
50	191	3559
51	192	3507
52	193	3449
53	193	3391
54	194	3336
55	194	3284
56	195	3231
57	195	3181
58	196	3132
59	197	3093
60	198	3051
61	198	3009
62	199	2967
63	200	2927
64	200	2887
65	201	2848
66	201	2809
67	202	2772
68	203	2743
69	204	2713
70	205	2682
71	205	2650
72	206	2618
73	206	2587
74	207	2557
75	207	2528
76	208	2499
77	209	2473
78	210	2449
79	210	2426
80	211	2399
81	212	2374
82	212	2346
83	212	2322
84	213	2297
85	213	2273
86	214	2251
87	215	2234
88	216	2216
89	217	2195
90	217	2175
91	218	2155
92	218	2134
93	219	2114
94	219	2094
95	220	2075
96	221	2059
97	222	2043
98	222	2028
99	223	2011
100	224	1993
101	224	1977
102	225	1960
103	225	1944
104	226	1927
105	226	1912
106	227	1902
107	228	1890
108	229	1875
109	230	1861
110	230	1847
111	231	1834
112	231	1819
113	232	1805
114	232	1792
115	233	1782
116	234	1770
117	235	1758
118	235	1746
119	236	1734
120	237	1721
121	237	1708
122	237	1696
123	238	1684
124	239	1673
125	239	1664
126	240	1654
127	241	1644
128	241	1633
129	242	1622
130	243	1612
131	243	1602
132	244	1591
133	244	1581
134	245	1573
135	246	1565
136	247	1557
137	247	1548
138	248	1538
139	248	1529
140	249	1519
141	249	1509
142	250	1500
143	250	1491
144	251	1485
145	252	1478
146	253	1470
147	254	1462
148	254	1454
149	255	1445
150	256	1441
151	256	1432
152	257	1427
153	258	1420
154	259	1414
155	260	1406
156	260	1399
157	261	1391
158	261	1383
159	262	1376
160	262	1367
161	262	1360
162	263	1354
163	264	1348
164	265	1342
165	265	1335
166	266	1329
167	267	1322
168	267	1315
169	268	1308
170	268	1302
171	269	1296
172	270	1290
173	270	1286
174	271	1280
175	272	1274
176	272	1268
177	273	1262
178	273	1256
179	274	1249
180	274	1243
181	275	1237
182	276	1233
183	277	1229
184	277	1223
185	278	1217
186	278	1212
187	279	1206
188	279	1200
189	280	1195
190	280	1189
191	281	1185
192	282	1182
193	283	1178
194	284	1174
195	285	1169
196	285	1164
197	286	1158
198	286	1153
199	287	1148
200	287	1144
201	288	1141
202	289	1137
203	290	1132
204	290	1127
205	291	1123
206	292	1118
207	292	1114
208	293	1109
209	293	1104
210	294	1102
211	295	1098
212	296	1094
213	297	1091
214	297	1087
215	298	1083
216	299	1079
217	300	1076
218	300	1073
219	301	1069
220	302	1065
221	302	1061
222	303	1057
223	304	1053
224	304	1049
225	305	1044
226	305	1040
227	306	1037
228	307	1035
229	308	1031
230	308	1027
231	309	1023
232	309	1019
233	310	1015
234	310	1011
235	311	1007
236	312	1004
237	312	1002
238	313	998
239	314	994
240	314	990
241	315	987
242	315	983
243	316	980
244	316	976
245	317	972
246	318	969
247	318	966
248	319	963
249	320	960
250	320	956
251	321	952
252	321	949
253	322	946
254	322	942
255	323	939
256	323	935
257	324	932
258	325	929
259	325	926
260	326	923
261	326	920
262	327	917
263	327	914
264	328	911
265	329	908
266	329	905
267	330	901
268	330	899
269	331	896
270	332	893
271	332	890
272	333	886
273	333	883
274	333	880
275	334	877
276	334	874
277	335	871
278	335	868
279	336	865
280	337	863
281	337	860
282	338	857
283	338	854
284	339	851
285	339	848
286	340	845
287	340	842
288	341	839
289	341	836
290	342	834
291	343	832
292	343	829
293	344	827
294	344	824
295	345	821
296	345	818
297	346	815
298	346	813
299	347	810
300	347	807
301	348	805
302	348	802
303	349	800
304	350	798
305	350	795
306	351	792
307	351	790
308	352	787
309	352	785
310	353	782
311	353	780
312	354	777
313	354	775
314	355	773
315	356	771
316	356	768
317	357	766
318	357	763
319	358	761
320	358	758
321	359	756
322	359	753
323	360	751
324	360	749
325	361	747
326	362	745
327	362	743
328	363	740
329	363	738
330	364	736
331	364	733
332	365	731
333	365	729
334	366	726
335	366	724
336	367	723
337	368	721
338	368	719
339	369	717
340	370	715
341	370	713
342	371	711
343	371	709
344	372	706
345	372	704
346	373	703
347	374	701
348	375	699
349	375	697
350	376	695
351	377	694
352	377	692
353	378	690
354	378	688
355	379	686
356	380	686
357	381	684
358	382	682
359	382	680
360	383	678
361	383	676
362	384	674
363	384	672
364	385	670
365	385	668
366	386	667
367	387	665
368	387	663
369	388	661
370	388	659
371	389	657
372	389	655
373	390	653
374	390	651
375	391	649
376	392	648
377	392	646
378	393	644
379	394	643
380	394	641
381	395	639
382	395	637
383	396	636
384	397	634
385	397	632
386	398	631
387	399	629
388	399	628
389	400	626
390	401	624
391	401	622
392	402	621
393	402	619
394	403	617
395	403	615
396	404	613
397	404	612
398	405	610
399	405	608
400	406	606
401	406	605
402	407	603
403	407	601
404	408	599
405	408	598
406	409	596
407	409	594
408	410	592
409	410	591
410	411	589
411	412	588
412	412	586
413	413	584
414	413	583
415	414	581
416	414	579
417	415	577
418	415	576
419	415	574
420	416	572
421	417	571
422	417	570
423	418	568
424	418	566
425	419	565
426	419	563
427	420	561
428	420	560
429	421	558
430	421	556
431	422	555
432	422	553
433	423	552
434	424	551
435	424	549
436	425	548
437	425	546
438	426	544
439	426	543
440	427	541
441	427	540
442	428	538
443	428	536
444	429	535
445	430	534
446	430	532
447	431	531
448	431	529
449	432	528
450	432	526
451	433	525
452	433	523
453	434	522
454	434	520
455	435	519
456	436	518
457	436	516
458	437	515
459	437	513
460	438	512
461	438	510
462	439	509
463	439	507
464	440	506
465	440	504
466	440	503
467	441	502
468	442	500
469	443	499
470	443	498
471	444	496
472	444	495
473	444	493
474	445	492
475	445	490
476	446	489
477	446	487
478	447	486
479	448	485
480	448	484
481	449	482
482	449	481
483	450	479
484	450	478
485	451	477
486	451	475
487	452	474
488	452	472
489	453	471
490	453	470
491	454	469
492	454	467
493	455	466
494	455	465
495	456	463
496	456	462
497	457	461
498	457	459
499	458	458
500	458	456
501	459	455
502	459	454
503	460	453
504	461	451
505	461	450
506	462	449
507	462	448
508	463	446
509	463	445
510	464	444
511	464	442
512	465	441
513	465	440
514	466	438
515	466	437
516	467	436
517	467	435
518	468	434
519	468	432
520	469	431
521	469	430
522	470	428
523	470	427
524	471	426
525	471	425
526	472	423
527	473	422
528	473	421
529	474	420
530	474	419
531	475	417
532	475	416
533	476	415
534	476	414
535	477	412
536	477	411
537	478	410
538	478	409
539	479	408
540	480	407
541	480	406
542	481	404
543	481	403
544	482	402
545	482	401
546	483	400
547	483	399
548	484	397
549	485	396
550	485	395
551	486	394
552	486	393
553	487	392
554	487	391
555	488	389
556	488	388
557	489	387
558	489	386
559	490	385
560	490	384
561	491	383
562	492	382
563	492	380
564	493	379
565	493	378
566	494	377
567	494	376
568	495	375
569	495	373
570	496	372
571	496	371
572	497	370
573	497	369
574	498	368
575	499	367
576	499	366
577	499	365
578	500	363
579	500	362
580	501	361
581	501	360
582	502	359
583	502	358
584	503	357
585	504	356
586	505	355
587	505	354
588	506	353
589	507	352
590	508	351
591	508	350
592	509	349
593	510	348
594	511	347
595	511	346
596	512	345
597	513	344
598	513	343
599	514	342
600	515	342
601	516	341
602	517	340
603	518	340
604	519	339
605	521	339
606	522	338
607	523	337
608	524	336
609	525	335
610	526	335
611	528	335
612	529	334
613	530	333
614	531	332
615	534	333
616	535	332
617	536	331
618	537	330
619	538	329
620	539	329
621	539	328
622	540	327
623	541	326
624	541	325
625	542	324
626	542	322
627	543	321
628	544	320
629	544	319
630	545	319
631	546	318
632	547	317
633	547	316
634	548	315
635	548	314
636	549	313
637	550	312
638	550	311
639	551	310
640	552	309
641	552	308
642	553	307
643	554	306
644	554	305
645	555	304
646	555	303
647	556	302
648	556	301
649	558	300
650	558	299
651	559	298
652	560	297
653	561	296
654	561	296
655	562	295
656	565	295
657	566	294
658	566	293
659	567	292
660	567	291
661	568	290
662	568	289
663	569	288
664	570	287
665	571	286
666	571	285
667	572	284
668	572	283
669	573	282
670	574	281
671	574	280
672	575	279
673	576	278
674	577	277
675	577	276
676	578	275
677	578	274
678	579	273
679	580	272
680	580	272
681	581	271
682	582	270
683	582	269
684	583	268
685	583	267
686	584	266
687	585	265
688	585	264
689	586	263
690	586	262
691	587	261
692	588	260
693	589	259
694	589	258
695	590	257
696	590	256
697	591	255
698	592	254
699	592	253
700	593	252
701	593	251
702	594	251
703	595	250
704	595	249
705	596	248
706	596	247
707	597	246
708	597	245
709	598	244
710	599	243
711	599	242
712	600	241
713	601	240
714	601	239
715	602	238
716	602	237
717	603	237
718	604	236
719	604	235
720	605	234
721	605	233
722	606	232
723	607	231
724	607	230
725	608	229
726	608	228
727	609	227
728	609	226
729	610	225
730	610	224
731	611	223
732	611	222
733	613	222
734	613	221
735	614	220
736	614	219
737	615	218
738	616	217
739	616	216
740	617	215
741	617	214
742	618	213
743	619	213
744	619	212
745	620	211
746	621	210
747	621	209
748	622	208
749	622	207
750	623	206
751	623	205
752	624	204
753	625	203
754	625	203
755	626	202
756	627	201
757	627	200
758	628	199
759	628	198
760	629	197
761	629	196
762	630	195
763	631	194
764	632	194
765	632	193
766	633	192
767	633	191
768	634	190
769	634	189
